"id","name","longitude","latitude","elevation"
"STOCKTON.C","Stockton Fire Station",-121.316666666667,38,4.28
"LODI.C","Lodi",-121.283333333333,38.1166666666667,12.98
"CAMPARDE.C","Camp Pardee",-120.85,38.25,195.1
"MDESTO.C","Modesto",-121,37.65,27.02
"TRACY.C","Tracy-Carbona",-121.416666666667,37.7,40.4
"SONORA.C","Sonora Ranger Station",-120.383333333333,37.9833333333333,544.35
"SACRMNTO.C","Sacramento FAA Airport",-121.5,38.5166666666667,5.74
"LIVERMOR.C","Livermore",-121.783333333333,37.7,138.21
"NEWMAN.C","Newman",-121.033333333333,37.3,28.95
"PLACRPGE.C","Placerville PG&E",-120.816666666667,38.7166666666667,533.74
"DAVIS.C","Davis",-121.766666666667,38.5333333333333,18.95
"MERCED.C","Merced",-120.516666666667,37.2833333333333,46.07
"VACAVLLE.C","Vacaville",-121.95,38.3666666666667,31.11
"AUBURN.C","Auburn",-121.083333333333,38.9166666666667,433.41
"WOODLAND.C","Woodland",-121.8,38.6833333333333,22.95
"WINTERS.C","Winters",-121.966666666667,38.5333333333333,39.17
"NEWARK.C","Newark",-122.033333333333,37.5166666666667,5.68
"LOSBANOS.C","Los Banos",-120.866666666667,37.05,38.54
"HTHETCHY.C","Hetch Hetchy",-119.783333333333,37.95,1153.02
"SANJOSE.C","San Jose",-121.9,37.35,19.42
"NAPA.C","Napa State Hospital",-122.266666666667,38.2833333333333,17.92
"RICHMOND.C","Richmond",-122.35,37.9333333333333,11.53
"COLFAX.C","Colfax",-120.95,39.1,757.75
"REDWOOD.C","Redwood City",-122.233333333333,37.4833333333333,5.03
"SANFRAN.C","San Francisco WSO Airport",-122.383333333333,37.6166666666667,3.12
"HOLLISTR.C","Hollister 2",-121.4,36.85,88.69
"YOSEMITE.C","South Entrance to Yosemite National Park",-119.633333333333,37.5,1526.33
"WTSNVILE.C","Watsonville Waterworks",-121.766666666667,36.9333333333333,34.16
"STHELENA.C","Saint Helena",-122.466666666667,38.5,73.64
"HALFMOON.C","Half Moon Bay",-122.45,37.4666666666667,0
"MADERA.C","Madera",-120.033333333333,36.95,83.24
"SNTAROSA.C","Santa Rosa",-122.7,38.45,56.68
"SALINAS.C","Salinas FAA Airport",-121.6,36.6666666666667,27.73
"COLUSA.C","Colusa",-122.016666666667,39.2,16.62
"GRATON.C","Graton",-122.866666666667,38.4333333333333,41.21
"DOWNEVIL.C","Downieville",-120.833333333333,39.5666666666667,1202.4
"MONTEREY.C","Monterey",-121.9,36.6,34.14
"HELDSBRG.C","Healdsburg",-122.866666666667,38.6166666666667,41.36
"FRESNO.C","Fresno Yosemite International Airport",-119.716666666667,36.7666666666667,98.4
"SIERRAVL.C","Sierraville Ranger Station",-120.366666666667,39.5833333333333,1517.17
"FIVE_PTS.C","Five Points",-120.15,36.3666666666667,83.71
"KINGCITY.C","King City",-121.133333333333,36.2,86.13
"CHICO.C","CSU Chico University Farm",-121.816666666667,39.7,58.93
"WILLOWS.C","Willows",-122.3,39.5166666666667,63.67
"PRIESTVY.C","Priest Valley",-120.7,36.1833333333333,697.01
"PORTOLA.C","Portola",-120.466666666667,39.8,1513.75
"QUINCY.C","Quincy",-120.95,39.9166666666667,1468.54
"COALINGA.C","Coalinga",-120.35,36.15,202.14
"ORLAND.C","Orland",-122.2,39.75,79.35
"STONYGRG.C","Stony Gorge Reservoir",-122.533333333333,39.5833333333333,311.11
"HANFORD.C","Hanford",-119.65,36.3,73.92
"UKIAH.C","Ukiah",-123.2,39.15,185.09
"VISALIA.C","Visalia",-119.3,36.3333333333333,100.36
"POTTRVLY.C","Potter Valley Pumping House",-123.133333333333,39.3666666666667,379.48
"BISHOP.C","Bishop WSO Airport",-118.366666666667,37.3666666666667,1252.3
"CORCORAN.C","Corcoran Irrigation District",-119.566666666667,36.1,62.43
"CHESTER.C","Chester",-121.233333333333,40.3,1380.76
"REDBLUFF.C","Red Bluff Municipal Airport",-122.25,40.15,104.73
